subdistrict_id,subdistrict_url,street_url,cutsheet_url
100,https://www.viewpoint.ca/forsale/subdistrict/100,https://www.viewpoint.ca/forsale/street/100/66168/No-3-Highway-Queensland,https://www.viewpoint.ca/cutsheet/202514141/5/lot-No-3-Highway-Queensland
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/12141/Jan-Marie-Drive-Lawrencetown,https://www.viewpoint.ca/cutsheet/202602903/1/25-Jan-Marie-Drive-Lawrencetown
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/13077/Lahey-Drive-Lawrencetown,https://www.viewpoint.ca/cutsheet/202602318/1/44-Lahey-Drive-West-Lawrencetown
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/13564/Lawrencetown-Road-Lawrencetown,https://www.viewpoint.ca/cutsheet/202605043/5/3178-Lawrencetown-Road-Lawrencetown
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/13564/Lawrencetown-Road-Lawrencetown,https://www.viewpoint.ca/cutsheet/202605737/1/3485-Lawrencetown-Road-Lawrencetown
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/13564/Lawrencetown-Road-Lawrencetown,https://www.viewpoint.ca/cutsheet/202603806/1/3950-Lawrencetown-Road-Lawrencetown
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/13674/Leslie-Road-East-Lawrencetown,https://www.viewpoint.ca/cutsheet/202502260/5/261-Leslie-Road-Lawrencetown
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/16519/Mineville-Road-Lawrencetown,https://www.viewpoint.ca/cutsheet/202600059/5/Mineville-Road-Lawrencetown
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/23864/Snow-Lake-Unknown-Mineville,https://www.viewpoint.ca/cutsheet/202517524/5/Snow-Lake-Drive-Mineville
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/23909/Sonia-Drive-Lawrencetown,https://www.viewpoint.ca/cutsheet/202604110/1/38-Sonia-Drive-Lawrencetown
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/26729/West-Lawrencetown-Road-Lawrencetown,https://www.viewpoint.ca/cutsheet/202506564/5/819-West-Lawrencetown-Road-Lawrencetown
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/3645/Candy-Mountain-Road-Mineville,https://www.viewpoint.ca/cutsheet/202605817/1/123-Candy-Mountain-Road-Mineville
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/8354/Gammon-Lake-Drive-Lawrencetown,https://www.viewpoint.ca/cutsheet/202603457/1/22-Gammon-Lake-Drive-Lawrencetown
101,https://www.viewpoint.ca/forsale/subdistrict/101,https://www.viewpoint.ca/forsale/street/101/9857/Hebb-Drive-Lawrencetown,https://www.viewpoint.ca/cutsheet/202605004/1/110-Hebb-Drive-Lawrencetown
102,https://www.viewpoint.ca/forsale/subdistrict/102,https://www.viewpoint.ca/forsale/street/102/11247/Highway-7-Lake-Echo,https://www.viewpoint.ca/cutsheet/202606077/1/2704-Highway-7-Lake-Echo
102,https://www.viewpoint.ca/forsale/subdistrict/102,https://www.viewpoint.ca/forsale/street/102/11247/Highway-7-Lake-Echo,https://www.viewpoint.ca/cutsheet/202600351/1/2929-Highway-7-Highway-Lake-Echo
102,https://www.viewpoint.ca/forsale/subdistrict/102,https://www.viewpoint.ca/forsale/street/102/18618/No-7-Highway-Lake-Echo,https://www.viewpoint.ca/cutsheet/202516367/5/Parcel-A-7-Highway-Lake-Echo
102,https://www.viewpoint.ca/forsale/subdistrict/102,https://www.viewpoint.ca/forsale/street/102/18618/No-7-Highway-Lake-Echo,https://www.viewpoint.ca/cutsheet/202516367/5/Parcel-A-7-Highway-Lake-Echo
102,https://www.viewpoint.ca/forsale/subdistrict/102,https://www.viewpoint.ca/forsale/street/102/18618/No-7-Highway-Lake-Echo,https://www.viewpoint.ca/cutsheet/202501815/5/Lot-Highway-7-Lake-Echo
