cutsheet_url,pid,class_id,listing_id,listing_class_id,address,list_price,bedrooms,bathrooms,building_sqft,lot_size_sqft,property_type,style,building_style,building_dimensions,age,bathrooms_fh,total_living_area,prov_parcel_size,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned,zoning,mls_zoning,polling_district,waste_collection,by_law_area,assessment_current,tax_expense,tax_rate,aan,views,unique_users,historical_cutsheet_urls,scrape_error
https://www.viewpoint.ca/cutsheet/202513600/2/2070-2072-Oxford-Street-Halifax,00023804,2,202513600,2,"2070/2072 Oxford Street, Halifax",1249900,,,3000,8961,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER-3 By-Law Code: 23,{{info.mls_zoning}},Halifax West – Armdale,MONDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202603065/3/6045-6047-Williams-Street-Halifax,00141523,3,202603065,3,"6045/6047 Williams Street, Halifax",1250000,,,,4674,Fourplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER-3 By-Law Code: 23,{{info.mls_zoning}},Halifax Peninsula North,TUESDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202602395/3/6284-86-Chebucto-Road-Halifax,00133603,3,202602395,3,"6284-86 Chebucto Road, Halifax",990000,,,,3100,Duplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER-3 By-Law Code: 23,{{info.mls_zoning}},Halifax West – Armdale,TUESDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202528228/5/6319-Chebucto-Road-Halifax,00133363,5,202528228,5,"6319 Chebucto Road, Halifax",795000,,,,1610,Land & Acreage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER-3 By-Law Code: 23,{{info.mls_zoning}},Halifax West – Armdale,WEDNESDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202602726/3/6229-6231-Allan-Street-Halifax,00139030,3,202602726,3,"6229-6231 Allan Street, Halifax",824900,,,,2759,Duplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER-3 By-Law Code: 23,{{info.mls_zoning}},Halifax West – Armdale,TUESDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202604063/3/6028-6030-Cunard-Street-Halifax,00144071,3,202604063,3,"6028/6030 Cunard Street, Halifax",1250000,,,,3011,Duplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COR By-Law Code: 23,{{info.mls_zoning}},Halifax Peninsula North,TUESDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,1,202606395,1,"2582 Elm Street, Halifax",899900,4,1,1659,3398,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ER-3 By-Law Code: 23,{{info.mls_zoning}},Halifax West – Armdale,MONDAY by REgroup,Regional Centre By-Law Code: RC,720800.00,"8,173.89",1.134,04116488,1395,1052,https://www.viewpoint.ca/cutsheet/201906852/1/2582-Elm-Street-Halifax|https://www.viewpoint.ca/cutsheet/4996917/1/2582-Elm-Street-Halifax|https://www.viewpoint.ca/cutsheet/4505067/1/2582-Elm-Street-Halifax|https://www.viewpoint.ca/cutsheet/4145316/1/2582-Elm-Street-Halifax,
https://www.viewpoint.ca/cutsheet/202521596/5/166-Hillside-Drive-Boutiliers-Point,40048654,5,202521596,5,"166 Hillside Drive, Boutiliers Point",1399900,,,,1960200,Land & Acreage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MU-2 By-Law Code: 20,{{info.mls_zoning}},Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,,,,,,,,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,1,202604115,1,"252 Hillside Drive, Boutiliers Point",619900,3,1,2124,59677,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-A By-Law Code: 20,{{info.mls_zoning}},Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,511300.00,"5,082.32",0.994,01723081,63,56,https://www.viewpoint.ca/cutsheet/202513570/1/252-Hillside-Drive-Boutiliers-Point|https://www.viewpoint.ca/cutsheet/4972650/1/252-Hillside-Drive-Boutiliers-Point,
https://www.viewpoint.ca/cutsheet/202604203/1/1-Ingram-River-Lane-Ingramport,00458182,1,202604203,1,"1 Ingram River Lane, Ingramport",498000,2,1,981,5027,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRR-1 By-Law Code: 20,{{info.mls_zoning}},Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,313200.00,"3,113.20",0.994,02078023,23,21,https://www.viewpoint.ca/cutsheet/4697791/1/1-Ingram-River-Lane-Ingram|https://www.viewpoint.ca/cutsheet/3272172/1/1-Ingram-River-Lane-Ingramport,
https://www.viewpoint.ca/cutsheet/202525543/1/38-Lennox-Road-Black-Point,40846701,1,202525543,1,"38 Lennox Road, Black Point",1999900,4,1,5969,56532,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MU-1 By-Law Code: 20,{{info.mls_zoning}},Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,1631400.00,"16,052.98",0.984,01861077,23,22,,
https://www.viewpoint.ca/cutsheet/202602615/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,40044216,1,202602615,1,"331 Masons Point Road, Head Of St. Margarets Bay",969000,5,1,4167,26824,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-A By-Law Code: 20,{{info.mls_zoning}},Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,908800.00,"9,033.48",0.994,05113717,42,35,https://www.viewpoint.ca/cutsheet/202515058/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/202506013/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/202417340/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/202203847/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/201801350/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/201510768/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/4928606/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,
https://www.viewpoint.ca/cutsheet/202604713/1/100-Meisners-Point-Road-Ingramport,40233496,1,202604713,1,"100 Meisners Point Road, Ingramport",824900,4,1,1644,34150,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRR-1 By-Law Code: 20,{{info.mls_zoning}},Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,752000.00,"7,399.68",0.984,04807073,47,42,https://www.viewpoint.ca/cutsheet/202427812/1/100-Meisners-Point-Road-Ingramport|https://www.viewpoint.ca/cutsheet/202413374/1/100-Meisners-Point-Road-St-Margaret-039-s-Bay,
