cutsheet_url,pid,listing_id,class_id,ldate,sdate,expdate,dom,lprice,sprice,stid
https://www.viewpoint.ca/cutsheet/202509790/1/42-Rowan-Avenue-New-Glasgow,65180895,202509790,1,2025-05-05,,2026-02-12,338,650000,,5
https://www.viewpoint.ca/cutsheet/202509790/1/42-Rowan-Avenue-New-Glasgow,65180895,3728132,1,2009-06-25,2009-09-21,2009-10-28,88,388900,377000,2
https://www.viewpoint.ca/cutsheet/202602223/1/252-Blue-Heron-Drive-New-Glasgow,65087504,202602223,1,2026-02-04,,2026-02-05,63,825000,,5
https://www.viewpoint.ca/cutsheet/202602223/1/252-Blue-Heron-Drive-New-Glasgow,65087504,202514314,1,2025-06-11,,2026-03-31,238,825000,,3
https://www.viewpoint.ca/cutsheet/202602223/1/252-Blue-Heron-Drive-New-Glasgow,65087504,202411648,1,2024-05-27,2024-06-10,2024-06-12,14,795000,795000,2
https://www.viewpoint.ca/cutsheet/202602223/1/252-Blue-Heron-Drive-New-Glasgow,65087504,202102030,1,2021-02-05,2021-02-25,2021-02-28,20,648000,600000,2
https://www.viewpoint.ca/cutsheet/202602223/1/252-Blue-Heron-Drive-New-Glasgow,65087504,4408908,1,2011-06-08,2011-07-15,2011-10-05,37,498000,470000,2
https://www.viewpoint.ca/cutsheet/202605290/1/489-Terrace-Street-New-Glasgow,00952101,202605290,1,2026-03-24,,2026-03-24,15,775000,,5
https://www.viewpoint.ca/cutsheet/202605290/1/489-Terrace-Street-New-Glasgow,00952101,202523675,1,2025-09-16,,2026-01-01,107,799900,,1
https://www.viewpoint.ca/cutsheet/202602981/1/9-Terrace-Avenue-Stellarton,00987941,202602981,1,2026-02-18,,2026-02-18,49,364900,,5
https://www.viewpoint.ca/cutsheet/202602981/1/9-Terrace-Avenue-Stellarton,00987941,202424130,1,2024-10-07,2024-10-31,2024-11-01,24,314900,300000,2
https://www.viewpoint.ca/cutsheet/202602981/1/9-Terrace-Avenue-Stellarton,00987941,201720774,1,2017-08-11,2018-08-24,2018-08-24,378,123900,118000,2
https://www.viewpoint.ca/cutsheet/202602981/1/9-Terrace-Avenue-Stellarton,00987941,201509962,1,2015-10-20,,2016-01-22,94,149000,,1
https://www.viewpoint.ca/cutsheet/202602981/1/9-Terrace-Avenue-Stellarton,00987941,5115765,1,2014-12-04,,2015-10-01,301,149500,,1
