cutsheet_url,pid,class_id,listing_id,listing_class_id,address,list_price,bedrooms,bathrooms,building_sqft,lot_size_sqft,property_type,style,building_style,building_dimensions,age,bathrooms_fh,total_living_area,prov_parcel_size,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned,zoning,mls_zoning,polling_district,waste_collection,by_law_area,assessment_current,tax_expense,tax_rate,aan,views,unique_users,historical_cutsheet_urls,scrape_error
https://www.viewpoint.ca/cutsheet/202525543/1/38-Lennox-Road-Black-Point,40846701,1,202525543,1,"38 Lennox Road, Black Point",1999900,4,1,5969,56532,Single Family,Detached,2 Level,55.8 x 54.5 +/- jogs,25,4 / 1,"5,969 sqft","56,511 sqft (1.3 acres)",,Asphalt Shingle,"Other, Stucco",Poured Concrete,Partially Developed,"Engineered Hardwood, Ceramic","Baseboard, In Floor, Ducted Cooling",Yes,,"Electric, Oil",Drilled Well,Septic,"Yes, Attached, Triple, Heated (attached, triple)","Paved, Interlocking",Yes,,"Ensuite Bath, Wood Fireplace","Cleared, Landscaped, Sloping/Terraced","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Freezer - Stand Up, Microwave, Oven, Refrigerator, Stove, Washer","All appliances, Pizza Oven, Manual Generator",,None,Royal Lepage Atlantic,Yes,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,1631400.00,"16,052.98",0.984,01861077,37,35,,
https://www.viewpoint.ca/cutsheet/202602615/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,40044216,1,202602615,1,"331 Masons Point Road, Head Of St. Margarets Bay",969000,5,1,4167,26824,Single Family,Detached,Bungalow,irregular,11,3 / 1,"4,167 sqft","26,824 sqft",,Asphalt Shingle,"Stone, Vinyl",Insulated Concrete,"Full, Fully Developed, Walkout","Ceramic, Carpet, Hardwood, Vinyl Plank",Heat Pump,Yes,,"Electric, Propane","Well, Dug",Septic,"Yes, Attached, Double, Heated, Wired (double)",Paved (paved),No,,"Water Jet Tub, Ensuite Bath, Propane Fireplace, HRV (Heat Recovery Ventilation), Central Vac Roughed In","Landscaped, Level, Fenced","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer","fridge, stove, washer, dryer, dishwasher",,Propane Tank,Royal Lepage Atlantic,Yes,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,908800.00,"9,033.48",0.994,05113717,66,51,https://www.viewpoint.ca/cutsheet/202515058/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/202506013/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/202417340/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/202203847/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/201801350/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/201510768/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay|https://www.viewpoint.ca/cutsheet/4928606/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,
https://www.viewpoint.ca/cutsheet/202604713/1/100-Meisners-Point-Road-Ingramport,40233496,1,202604713,1,"100 Meisners Point Road, Ingramport",824900,4,1,1644,34150,Single Family,Detached,"Side Split, 4 Level",26x42,47,1 / 1,"1,644 sqft","34,150 sqft",Potential,Asphalt Shingle,"Brick, Vinyl",Poured Concrete,Fully Developed,"Tile, Carpet, Hardwood",Hot Water,Yes,,"Wood, Oil","Well, Dug",Septic,"No, Carport",Gravel (multi car gravel driveway & 26 x 14 carport with 11' 9 clearance),Yes,"Access:  Ocean, View:  Harbour, View:  Ocean","Wood Stove(s), Fireplace(s), Wood Fireplace","Cleared, Landscaped, Level, Sloping/Terraced","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Range, Refrigerator, Washer","Appliances, kitchen Island and seating, Furniture Negotiable.",,None,Century 21 Trident Realty Ltd.,Yes,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,752000.00,"7,399.68",0.984,04807073,80,69,https://www.viewpoint.ca/cutsheet/202427812/1/100-Meisners-Point-Road-Ingramport|https://www.viewpoint.ca/cutsheet/202413374/1/100-Meisners-Point-Road-St-Margaret-039-s-Bay,
https://www.viewpoint.ca/cutsheet/202224908/5/Highway-103-Head-Of-St-Margarets-Bay,40042707,5,202224908,5,"Highway 103, Head Of St. Margarets Bay",599900,,,,1067220,Land & Acreage,,,,,,,"1,067,220 sqft (25 acres)",,,,,,,,,,,,,,,No,,,,,,,,,Re/max Nova,No,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,,,,,,,,
https://www.viewpoint.ca/cutsheet/202606214/5/10-Spruce-Lane-Boutiliers-Point,40579419,5,202606214,5,"10 Spruce Lane, Boutiliers Point",144900,,,,31788,Land & Acreage,,,,,,,"31,788 sqft",,,,,,,,,,,,,,,No,,,,,,,,,Re/max Nova (halifax),Yes,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,,,,,,,,
https://www.viewpoint.ca/cutsheet/202602198/1/8278-St-Margarets-Bay-Road-Black-Point,40020729,1,202602198,1,"8278 St Margarets Bay Road, Black Point",549000,2,1,1200,12000,Cottage & Recreational,Detached,"Bungalow, 1 Level",31' x 25',37,1 / 0,"1,200 sqft","12,000 sqft",Potential,Asphalt Shingle,Wood Siding,Poured Concrete,"Full, Fully Developed, Walkout","Carpet, Vinyl",Forced Air,Yes,,Oil,Dug,Septic,"No, None",Paved,Yes,"Access:  Right of Way, Access:  Lake, Access:  Ocean, View:  Lake, View:  Ocean",Wood Fireplace,Partial Landscaped,"Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Stove, Washer",,,None,Red Door Realty,No,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,435300.00,"4,283.35",0.984,05012732,52,47,https://www.viewpoint.ca/cutsheet/202601615/1/8278-St-Margarets-Bay-Road-Black-Point|https://www.viewpoint.ca/cutsheet/202528654/1/8278-St-Margarets-Bay-Road-Black-Point,
https://www.viewpoint.ca/cutsheet/202515935/1/7026-St-Margarets-Bay-Road-Boutiliers-Point,41509423,1,202515935,1,"7026 St Margarets Bay Road, Boutiliers Point",3495000,6,1,5408,52979,Single Family,Detached,3 Level,Irregular,1,4 / 1,"5,408 sqft","52,958 sqft (1.2 acres)",,Asphalt Shingle,"Wood Shingles, Stone",Poured Concrete,"Full, Fully Developed, Walkout","Engineered Hardwood, Tile, Hardwood","Heat Pump, Fireplace, Ducted Cooling",,,"Electric, Propane",Drilled Well,Septic,"Yes, Attached, Double, Heated (attached, double, heated.)","gravel, multiple vehicles.",Yes,"Access:  Ocean, Access:  Bay, View:  Bay, View:  Ocean",,"Cleared, Sloping/Terraced","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer",,,None,The Agency Real Estate Brokerage,Yes,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,2257100.00,"22,435.58",0.994,10096881,78,69,https://www.viewpoint.ca/cutsheet/202211878/5/7026-St-Margarets-Bay-Road-Black-Point,
https://www.viewpoint.ca/cutsheet/202606551/1/149-Todds-Island-Road-St-Margaret-039-s-Bay,40043903,1,202606551,1,"149 Todds Island Road, St Margaret's Bay",1375000,4,2,1942,8560,Single Family,Detached,"3 Level, 4 Level",Irregular,70,2 / 0,"1,942 sqft","8,560 sqft",Potential,Asphalt Shingle,Wood Siding,"Poured Concrete, Block Concrete","Partial, Walkout","Tile, Ceramic, Carpet, Laminate, Vinyl Plank","Furnace, Heat Pump, Fireplace",,,"Wood, Electric, Oil","Well, Dug",Septic,"Yes, Attached, Double, Heated (attached garage single with workshop space.)","Gravel, Dirt (3 or 4 car parking.)",Yes,"Access:  Boat, Access:  Ocean, Access:  Bay, Access:  Island","Air Exchanger, Wood Stove(s), Balcony, HRV (Heat Recovery Ventilation), Sump Pump","Partially Fenced, Cleared, Landscaped","Electrical, High Speed Internet","Cooktop - Electric, Dishwasher, Dryer - Electric, Freezer - Stand Up, Glass Cooktop, Oven, Oven - Electric, Refrigerator, Washer","Washer, dryer, fridge, stove, dishwasher x2.",,None,Sutton Group Professional Realty,Yes,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,617100.00,"6,133.98",0.994,02458136,1445,1313,,
https://www.viewpoint.ca/cutsheet/202605153/1/350-Viewmount-Drive-Head-Of-St-Margarets-Bay,00617480,1,202605153,1,"350 Viewmount Drive, Head Of St. Margarets Bay",1799900,4,3,3124,38087,Single Family,Detached,2 Level,50 x 25 -JOGS,51,3 / 0,"3,124 sqft","38,072 sqft",,Other,"Wood Shingles, Brick",Poured Concrete,"Fully Developed, Walkout","Ceramic, Carpet, Hardwood","Baseboard, Forced Air, Heat Pump",,,"Wood, Electric",Dug,Septic,"Yes, Attached, Double (attached, double)","Paved, Circular (paved, circular)",Yes,"Access:  Ocean, View:  Ocean",,"Landscaped, Level","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer, Glass Cooktop, Oven, Washer",,,None,Royal Lepage Atlantic,No,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,1061300.00,"10,549.32",0.994,04342038,111,106,,
https://www.viewpoint.ca/cutsheet/202517167/5/Boutiliers-Point-Road-Boutiliers-Point,40207227,5,202517167,5,"Boutiliers Point Road, Boutiliers Point",99900,,,,62200,Land & Acreage,,,,,,,"62,200 sqft (1.4 acres)",,,,,,,,,,,,,,,No,,,,,,,,,Exit Realty Metro,No,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,,,,,,,,
